activePower,apparentPower,current,harmonic1,harmonic2,harmonic3,harmonic4,harmonic5,harmonic6,harmonic7,harmonic8,harmonic9,phase,reactivePower,voltage
130,171,49,8472,221,12361,462,3339,65,1798,724,804,7945,111,36237
129,172,49,8612,623,11638,230,2692,300,1559,220,727,8013,113,36233
129,170,49,8134,899,11655,903,2732,634,2057,322,960,7958,111,36218
129,171,48,8106,390,11600,680,2311,808,1363,668,498,7927,111,36225
128,169,48,7419,206,11951,461,2762,424,1769,162,483,7931,110,36241
128,170,48,7921,519,11890,497,3555,519,1768,649,964,8044,112,36229
128,170,48,7874,561,11391,239,2374,102,1431,76,588,8027,112,36212
130,171,49,8437,436,11776,491,2157,503,1962,746,525,7927,111,36223
130,171,49,8192,546,11997,629,2341,350,1655,374,748,7896,111,36245
128,170,48,7893,480,11761,1176,2303,485,2181,247,760,8025,112,36251
129,170,48,7911,401,11093,350,2330,758,1240,269,622,7904,110,36245
129,171,49,8140,800,12181,334,3169,173,1753,139,771,7945,111,36236
129,171,49,8363,211,11718,607,3061,439,2124,592,499,7980,112,36261
130,171,48,8119,501,11999,278,2068,151,1578,847,1007,7908,111,36262
128,169,48,7347,365,11097,232,2615,735,2038,542,421,7938,110,36267
128,170,48,7833,185,11712,478,2734,288,2373,691,431,8009,111,36236
128,169,48,7525,744,11195,306,2566,821,1638,232,725,7968,110,36233
129,170,48,7767,303,11183,395,2458,565,1739,131,223,7892,110,36234
128,170,48,7675,225,12300,750,2625,992,1474,238,885,8021,111,36245
128,170,48,7972,589,11802,226,1866,324,1911,1049,764,8008,111,36232
128,169,48,7345,624,11354,303,2403,642,1861,656,500,7977,110,36244
130,171,48,8230,234,11507,444,2561,1108,1654,271,524,7853,110,36250
130,172,49,8470,391,12083,112,2133,889,2587,588,541,7968,112,36255
129,170,48,7770,347,11625,739,2875,335,1574,197,404,7944,111,36259
130,171,49,8420,399,12028,398,2628,371,1906,973,131,7930,111,36280
129,171,48,8021,571,11716,232,2156,543,2212,218,290,7952,111,36285
129,171,48,8019,490,11972,794,2191,342,1946,239,842,7982,111,36287
130,171,49,8359,397,11557,642,2448,291,1542,751,473,7918,111,36274
129,169,48,7634,281,10653,638,2659,293,1441,408,572,7929,110,36261
130,172,49,8787,444,11320,516,2661,554,1918,844,541,7974,112,36246
130,171,49,8378,89,11507,723,1125,187,1812,616,149,7950,111,36244
128,169,48,7407,514,11922,414,2517,406,1768,802,122,7949,110,36254
128,170,48,8009,314,11655,116,2028,126,1718,594,1190,8076,112,36260
131,172,49,8719,79,11622,404,2723,474,2128,76,244,7902,112,36267
130,172,49,8541,200,11455,420,3074,586,1575,699,576,7952,112,36256
130,172,49,8626,168,11693,114,1907,72,2210,175,811,7972,112,36242
128,168,48,7262,82,11445,396,3200,715,1552,478,950,7932,109,36234
129,171,49,8277,203,12313,200,2063,259,1705,85,562,7979,112,36269
129,171,48,8200,362,10979,436,3005,795,1807,205,1010,7998,112,36273
130,171,48,8073,289,11839,500,2237,801,2289,642,724,7899,110,36243
131,172,49,8738,358,11603,179,3190,488,1151,274,865,7916,112,36242
129,170,48,7976,516,11864,649,2914,393,2083,220,314,7994,111,36251
130,171,49,8421,238,12051,642,2133,202,1621,231,618,7881,111,36250
129,170,48,7928,592,11675,909,1983,439,1790,64,262,7946,111,36260
128,170,48,7666,356,11608,316,2777,241,1923,286,614,7976,111,36273
130,171,49,8316,295,11296,235,2431,377,1835,448,444,7884,111,36264
129,170,48,8040,535,11678,148,3780,320,1386,85,1015,7944,111,36264
128,169,48,7469,192,11474,62,2820,85,1898,392,503,7923,110,36249
128,170,48,7720,708,12074,34,3046,343,1542,387,1074,7997,111,36242
130,170,48,7894,651,11561,352,2667,306,1932,641,325,7820,109,36257
128,170,48,7770,330,11483,652,2613,390,1457,628,776,7992,111,36266
130,170,48,7968,158,11900,553,2435,590,1608,640,83,7884,110,36237
129,171,48,8112,252,12110,256,2170,651,1421,419,656,7936,111,36236
128,170,48,8072,175,10876,1101,2677,197,1499,612,449,8020,112,36245
129,170,48,7950,204,11695,300,1955,405,2237,266,603,7977,111,36248
129,169,48,7499,367,11217,394,3275,381,1774,297,435,7891,109,36256
129,171,49,8413,808,11298,40,2826,617,1332,181,446,7982,112,36236
130,172,49,8553,124,12010,628,3220,252,1954,603,367,7969,112,36243
129,171,49,8266,148,11333,663,2919,171,2436,243,697,7993,112,36273
130,171,49,8374,529,11499,100,2758,269,2414,241,650,7937,111,36267
130,171,48,8201,245,10837,356,2442,1179,1015,95,1217,7925,111,36264
130,170,48,8054,704,11598,282,2015,341,1178,564,741,7885,110,36247
128,169,48,7582,94,11121,85,3137,297,2119,644,514,8011,111,36245
131,172,49,8487,683,10989,1037,2609,588,2544,332,348,7902,111,36314
131,172,49,8682,320,11669,501,1592,982,1350,436,388,7922,112,36306
129,171,49,8205,696,11812,134,2315,361,1985,311,592,7974,112,36279
129,171,48,8281,156,11762,102,2139,120,988,322,259,8022,112,36276
129,170,48,7779,464,12147,232,2199,390,1767,154,783,7975,111,36295
129,170,48,7800,428,11829,312,2659,884,1867,792,343,7895,110,36310
128,170,48,7680,614,11550,341,2880,342,2341,253,807,7967,111,36295
129,171,49,8095,920,11828,455,2535,633,2266,234,576,7993,112,36265
129,171,48,8096,678,11847,221,2694,621,1303,528,633,7978,111,36266
129,171,49,8213,572,11969,658,2517,325,1234,310,589,8027,112,36288
129,171,48,8072,120,12523,318,2015,609,1771,668,412,8025,112,36302
129,170,48,7912,358,11904,616,2908,52,1276,400,759,7900,110,36274
129,169,48,7635,327,11858,492,2620,612,1636,670,803,7930,110,36253
127,167,48,6774,302,11751,675,2941,823,1639,822,230,7935,109,36265
130,172,49,8456,275,11816,868,2996,354,1357,634,603,7974,112,36274
129,170,48,7949,652,12174,980,2631,611,1383,639,954,7983,111,36284
128,169,48,7338,965,11246,18,2616,44,1803,622,434,7988,110,36261
128,169,48,7424,480,11489,142,2937,545,1572,272,556,7955,110,36254
131,171,49,8477,545,11535,895,2428,213,2092,215,646,7849,110,36242
130,171,49,8459,620,11351,467,2542,671,993,440,523,7954,112,36253
130,171,49,8332,249,11283,162,1467,577,1890,799,333,7960,112,36272
131,172,49,8531,279,12058,154,2645,126,1793,420,312,7870,111,36275
129,171,48,8144,636,11555,232,3273,514,1789,621,567,7996,112,36263
129,171,48,8047,786,12173,252,2137,476,2107,88,650,7972,111,36257
129,171,48,8105,483,11661,889,2587,421,1720,536,660,7937,111,36270
130,170,48,8049,423,11443,23,2859,667,1113,282,331,7899,110,36255
130,171,49,8198,689,11806,495,2761,606,2064,1062,766,7921,111,36266
130,171,49,8344,109,11835,681,3423,217,1286,454,552,7965,112,36275
130,171,49,8299,392,11530,868,1981,735,2229,440,688,7931,111,36277
129,171,48,8035,754,11775,538,2358,331,1621,492,1040,7963,111,36261
129,171,49,8425,562,11977,618,2418,430,1871,616,881,8029,112,36271
129,170,48,7716,151,12446,414,2664,746,1758,372,735,7947,111,36283
129,171,48,8176,266,11593,279,2059,416,2510,401,488,7990,112,36265
129,171,49,8362,1155,11250,296,2424,708,1971,524,1102,8031,112,36246
130,171,49,8429,314,11981,383,2528,348,1448,286,279,7944,111,36251
130,171,49,8196,380,11832,742,3220,297,1933,994,590,7927,111,36249
129,171,48,8124,491,12311,561,2339,888,2396,725,142,8002,112,36259
129,172,49,8543,164,11616,958,2777,410,1738,242,708,8007,112,36260
128,169,48,7537,279,11376,805,2348,271,1938,234,38,8021,111,36258
130,170,48,7951,805,11195,277,2840,794,1510,238,540,7875,110,36248
130,171,48,8083,629,11665,171,2980,262,1771,639,231,7909,111,36231
131,171,49,8409,343,11602,368,2390,566,1190,441,502,7804,110,36239
129,171,49,8276,601,11755,622,2158,730,1575,450,463,8007,112,36249
129,171,49,8420,700,12240,62,3120,282,1997,50,557,8052,113,36247
131,172,49,8523,850,11684,303,2778,590,1591,442,815,7858,111,36250
131,172,49,8892,630,11719,266,2697,206,2170,519,673,7925,112,36260
129,171,48,8216,272,11217,288,2544,516,1300,207,656,7974,112,36257
130,171,49,8399,571,11746,850,3013,547,1915,532,149,7881,111,36238
127,169,48,7608,355,11176,175,2846,247,1614,410,140,8086,112,36219
129,170,48,7885,509,11426,276,2645,238,1698,80,520,7902,110,36227
128,169,48,7363,288,11312,372,2480,349,1779,337,655,7889,109,36251
130,172,48,8522,859,11309,517,2697,256,1401,686,685,7916,111,36265
129,170,48,7798,620,11618,517,2863,746,2194,576,1035,7923,110,36256
129,171,49,8153,533,11185,560,2525,514,2369,473,600,7941,111,36231
130,172,49,8606,257,11539,953,1934,384,1203,388,86,7997,112,36233
129,171,48,8157,532,11002,443,1937,1442,1785,265,122,8016,112,36261
129,171,49,8176,321,12271,1016,2764,549,1742,599,598,7989,112,36251
129,171,49,8291,412,11017,779,3018,227,2169,267,324,8038,112,36244
129,171,49,8143,238,12342,276,2243,630,1840,343,501,7961,111,36235
128,170,48,8160,728,11310,210,2922,393,1512,956,568,8025,112,36227
128,170,48,7676,391,12174,616,1999,421,2038,377,396,7946,110,36228
129,171,49,8194,800,12447,850,2721,512,1946,196,380,7989,112,36230
130,170,48,7828,390,11378,699,3201,1215,1642,288,420,7830,109,36249
128,169,48,7385,351,11582,324,2421,136,1617,203,357,7994,111,36248
129,170,48,7880,720,11337,219,2437,1029,1964,255,66,7936,110,36217
129,170,48,8080,484,11369,504,2725,642,1504,459,750,7975,111,36221
128,170,48,7815,431,12482,725,3157,255,1529,546,657,7988,111,36243
128,170,48,7720,785,11039,376,3155,661,2100,869,618,7992,111,36258
130,170,48,7992,392,10816,563,2671,834,2395,600,692,7891,110,36269
129,170,48,7879,804,11491,976,3248,1086,1414,784,700,7958,111,36240
129,171,49,8167,646,12469,122,2214,578,3029,421,574,7982,112,36235
129,171,49,8453,606,11417,755,2522,235,1938,182,441,7972,112,36241
130,171,49,8341,101,12373,800,2993,214,1729,325,598,7914,111,36254
129,169,48,7476,232,11678,720,2198,862,1918,323,1071,7904,110,36276
129,170,48,7967,910,11581,154,2803,222,1500,646,825,7924,111,36263
130,171,49,8385,224,11822,690,2686,547,1496,610,316,7941,111,36246
130,172,49,8656,626,11319,452,2650,495,1932,31,442,7985,112,36244
130,171,48,8126,615,10762,336,3549,137,1723,884,197,7859,110,36247
129,170,48,7876,681,11594,313,2656,350,2429,373,684,7914,110,36251
129,171,49,8142,514,11708,165,2821,1015,1844,753,605,7934,111,36243
130,172,49,8687,285,11178,497,2473,623,2207,764,996,7959,112,36221
128,170,48,7726,62,11373,373,2618,500,2612,878,303,7957,110,36231
130,171,49,8233,400,11606,668,2872,533,1837,421,56,7852,110,36232
130,171,49,8171,420,11946,1135,2841,138,2453,835,367,7911,111,36225
129,170,48,8001,307,11362,520,2713,321,1517,731,289,7945,111,36220
128,170,48,7766,360,11483,936,2892,422,1360,458,37,7959,111,36197
128,170,48,8022,529,11515,533,2711,308,1817,389,561,7986,111,36206
129,171,49,8383,967,11505,596,2295,762,2181,297,588,8016,112,36217
130,170,48,7969,269,12008,334,2432,318,1887,640,436,7891,110,36224
128,170,48,7841,475,11134,563,2720,578,1221,603,702,7998,111,36226
128,169,48,7709,385,11943,707,1603,314,1817,472,155,7992,111,36198
129,170,49,8030,779,12300,414,2993,459,1360,737,594,7928,111,36210
130,170,48,7885,148,11764,512,2282,233,1390,60,297,7837,109,36237
128,171,48,8342,460,11427,63,3079,719,1765,362,414,8078,113,36226
129,171,49,8507,292,10670,529,3098,407,921,213,398,8011,112,36197
128,171,49,8282,681,11958,114,1986,394,1873,329,912,8060,112,36192
128,170,48,7760,419,12151,165,2819,230,1617,105,127,8025,111,36215
129,170,48,8113,547,11220,64,2330,187,1917,646,851,7910,111,36216
129,171,49,8212,242,11597,554,3200,302,2252,792,194,7995,112,36213
128,169,48,7476,274,11606,743,2595,984,2097,228,273,7882,109,36201
128,169,48,7759,798,11065,408,3009,527,1111,534,622,7997,111,36191
128,170,48,7771,290,11523,614,3521,450,2398,364,792,8043,111,36202
128,169,48,7637,419,12392,283,2793,225,1621,395,603,7970,110,36197
129,171,48,8214,716,12214,165,2693,314,975,556,169,8008,112,36208
129,170,48,8105,610,12263,578,2970,401,2206,1064,53,7988,111,36219
128,169,48,7701,368,11549,940,2689,224,1607,509,810,7985,111,36216
129,171,49,8316,513,12165,261,2972,501,2101,364,449,7949,111,36215
130,171,49,8276,463,12066,470,2448,543,1668,413,319,7867,110,36214
129,171,49,8396,374,11381,436,2040,239,2280,375,620,7958,111,36228
129,171,49,8148,186,11539,277,2136,425,2232,779,487,7956,111,36226
129,171,48,8074,454,11513,503,1891,136,2305,321,375,7915,111,36233
127,168,48,7174,487,11813,323,2656,186,1794,635,921,7978,110,36241
130,170,48,7982,878,11655,1001,2230,798,1515,356,404,7869,110,36238
129,171,49,8183,566,11412,739,3009,523,1838,197,503,8015,112,36243
129,170,48,7925,749,11739,399,2660,514,1349,774,756,7947,111,36220
129,169,48,7664,262,11227,204,2525,666,1514,363,1082,7875,109,36221
129,169,48,7533,246,11704,161,2093,297,1384,701,822,7869,109,36243
129,171,48,8021,936,11638,852,2978,412,1511,774,89,7959,111,36261
129,171,49,8421,748,11243,152,2738,692,1735,820,429,7961,112,36227
127,169,48,7683,277,10899,482,2311,502,1563,499,335,8050,111,36217
129,171,48,8194,337,11603,407,2500,238,2529,119,223,7955,111,36213
130,171,49,8585,767,11520,499,2601,239,1801,191,591,7919,111,36222
130,170,48,8091,451,11052,457,2120,1143,1600,505,914,7899,110,36235
128,169,48,7475,368,11972,288,2568,579,1659,34,721,7969,110,36232
130,171,48,8185,150,11075,285,3225,432,1690,544,527,7893,110,36224
127,168,48,6906,697,11383,295,2929,1196,1867,686,868,7907,109,36228
128,170,48,7825,504,11560,610,2970,672,1698,213,341,7991,111,36221
128,170,48,7867,282,12254,276,2602,166,1617,414,463,8032,112,36219
128,169,48,7590,391,11488,251,2851,96,2068,354,646,7980,111,36207
128,169,48,7616,577,11760,702,2271,723,1376,574,259,7934,110,36200
128,169,48,7497,308,11629,759,2749,449,1860,231,258,7937,110,36230
129,170,48,7776,276,11721,841,2336,446,1466,250,652,7957,111,36239
128,170,48,7790,766,11114,438,3354,428,1846,318,240,7949,110,36219
128,169,48,7531,546,11818,960,2671,307,1221,185,273,7987,111,36219
130,171,49,8350,676,12164,731,2317,358,2169,649,948,7925,111,36228
130,171,48,8298,707,11157,133,2221,727,890,325,596,7941,111,36248
130,171,49,8398,580,11529,672,2947,527,1660,570,765,7949,111,36239
128,169,48,7571,293,12046,230,2177,900,1286,168,457,8009,111,36215
129,169,48,7296,822,12051,714,2782,214,1842,385,662,7862,109,36201
128,169,48,7416,219,11358,143,1890,433,1688,342,214,7905,109,36210
129,170,48,8086,567,11963,119,2800,508,1399,383,757,7898,110,36195
128,170,48,7830,864,11791,260,3032,437,1499,669,676,7991,111,36192
127,169,48,7503,402,11305,394,2283,339,1780,684,637,8058,111,36188
130,171,49,8482,908,11277,503,2532,122,2142,915,932,7939,111,36188
127,169,48,7479,494,11559,112,3099,457,2401,365,15,8051,111,36182
129,170,48,7995,470,11871,535,2903,787,1826,131,109,7895,110,36193
129,169,48,7716,269,12046,204,2177,135,2097,471,240,7896,110,36198
128,169,48,7557,633,11084,450,2416,494,1972,468,629,7937,110,36196
129,170,48,7992,358,11840,328,2474,523,1696,547,770,7944,111,36210
129,169,48,7647,231,11891,227,2120,831,1734,826,1021,7863,109,36220
129,170,48,7894,335,12076,606,2517,475,2015,421,576,7940,111,36210
129,169,48,7629,537,11484,277,2729,665,1607,647,517,7881,109,36191
128,169,48,7544,25,11743,821,2409,427,1590,124,621,7902,109,36180
129,171,49,8562,279,11844,405,3083,344,1671,306,376,7989,112,36194
128,169,48,7605,643,11818,348,2157,711,1452,777,427,7941,110,36199
128,169,48,7503,403,11093,730,2395,85,2010,372,1111,7989,110,36202
129,169,48,7415,286,12052,624,2613,25,1671,549,531,7875,109,36209
129,171,48,8343,496,11289,547,2720,282,1830,777,362,7997,112,36200
128,169,48,7512,601,11189,120,2194,520,2348,1104,327,7936,110,36199
128,169,48,7354,258,11688,547,2199,585,1818,231,685,7943,110,36210
128,170,48,7836,493,12004,591,2344,442,2322,214,382,7973,111,36211
127,170,48,7793,306,11870,435,2238,604,1724,622,633,8133,113,36214
129,170,48,7816,613,11485,360,2698,765,1523,339,1038,7909,110,36171
129,170,48,7910,445,11591,146,2721,418,2289,410,190,7864,110,36187
129,171,49,8297,638,11330,93,2575,511,1741,541,224,7971,111,36195
128,171,49,8288,378,10840,701,2567,566,1102,129,647,8023,112,36185
129,169,48,7807,454,12072,240,2983,36,2154,165,162,7870,109,36172
127,169,48,7466,743,10505,907,3129,860,1927,210,100,8002,110,36172
128,169,48,7425,549,11264,212,2824,232,1453,747,498,7933,110,36156
128,169,48,7564,257,11053,207,2252,251,2028,666,49,7896,109,36166
128,169,48,7702,306,10853,254,2363,411,1396,380,1002,7932,110,36171
128,169,48,7775,432,11406,559,2845,105,1505,94,55,7995,111,36157
129,169,48,7578,627,11514,443,2664,794,2349,233,234,7879,109,36132
128,170,48,7980,719,11680,523,2560,117,2248,88,1067,8006,111,36136
128,169,48,7548,1022,11297,643,2535,169,1340,462,111,7939,110,36157
126,168,48,7189,450,11558,471,3046,168,2339,431,335,8058,111,36144
127,168,48,7021,661,12098,56,2998,375,2049,37,1104,7946,109,36152
129,170,48,7928,456,11498,177,2839,178,1499,833,515,7893,110,36146
127,168,48,7186,126,11644,722,2891,333,1751,282,758,8000,110,36141
129,169,48,7573,224,12915,765,2639,318,1802,275,748,7845,109,36137
128,169,48,7499,335,11765,332,2610,599,2302,274,538,7927,110,36128
130,170,49,8306,123,11854,78,2122,837,1320,518,951,7887,110,36134
128,169,48,7551,213,11695,238,2248,402,3143,540,629,7974,110,36139
127,168,48,7207,203,11538,394,2429,245,2004,830,513,7980,110,36140
128,168,48,7208,312,11802,194,3099,181,1978,340,288,7917,109,36137
128,169,48,7724,667,11601,344,2654,20,1556,220,231,7918,110,36122
126,167,48,6852,552,11810,303,2759,409,1914,467,265,7990,109,36142
129,169,48,7779,811,11566,735,2308,777,1484,435,643,7890,110,36156
128,169,48,7616,481,11879,519,2813,604,2523,438,642,7927,110,36172
129,170,48,7806,498,11734,375,2688,622,1736,558,750,7928,110,36187
128,169,48,7776,646,11797,166,2578,743,1646,593,628,7957,110,36174
128,169,48,7570,531,11440,297,3056,289,1583,626,402,7909,110,36151
129,169,48,7909,1010,11817,664,2464,818,2032,717,925,7928,110,36141
128,169,48,7825,597,11540,183,3295,614,1401,1140,419,7960,110,36157
128,169,48,7662,608,11644,519,2676,607,1625,236,289,7947,110,36184
128,169,48,7778,397,11229,213,2549,203,1938,345,668,7947,110,36179
128,170,48,7874,327,11837,880,2419,369,2156,546,713,7952,111,36171
129,170,48,8097,669,11872,415,2831,341,2459,328,862,7891,110,36173
130,171,48,8356,215,11243,250,2470,145,1742,68,473,7911,111,36202
129,171,49,8374,449,11250,406,2524,371,1641,148,919,7967,112,36209
129,170,49,8064,169,12339,644,2885,442,1648,623,604,7983,111,36190
129,170,49,8155,394,11748,170,2191,773,1864,250,1423,7915,110,36189
128,170,48,7803,610,11262,505,2809,563,1556,1007,995,7989,111,36185
130,170,48,7993,515,11467,422,2028,71,1468,454,386,7823,109,36203
130,170,48,8016,469,11253,451,2026,104,1771,218,522,7814,109,36220
