activePower,apparentPower,current,harmonic1,harmonic2,harmonic3,harmonic4,harmonic5,harmonic6,harmonic7,harmonic8,harmonic9,phase,reactivePower,voltage
14810,14810,4150,20498,2038,64920,2268,28849,385,41786,603,49008,68,90,34849
14816,14817,4151,21866,3147,63173,3016,30794,1270,40244,2255,47878,65,87,34858
14817,14817,4151,22048,2117,273,2567,28607,2212,43150,1087,49216,70,93,34857
14803,14804,4149,18529,1581,64929,2774,28546,1020,42570,1078,49374,68,91,34844
14798,14798,4147,16782,2261,64472,2100,29703,860,43393,822,49080,68,90,34840
14801,14801,4148,17399,1451,64140,2257,30470,369,43978,1762,48723,67,89,34844
14801,14801,4148,17285,1805,65276,3113,31099,228,42275,1805,48712,68,90,34846
14793,14794,4147,15300,2035,1790,1685,28170,2031,43338,956,50222,69,92,34837
14795,14795,4146,15278,2492,64356,3093,30236,1057,40582,1893,48181,66,88,34842
14801,14801,4148,16952,2759,486,2596,28158,1450,42285,782,49211,69,91,34846
14795,14795,4146,15010,1871,305,2496,27417,1027,41952,381,49866,69,91,34842
14797,14797,4147,15785,2107,932,2115,28333,1912,43543,528,50342,68,90,34843
14802,14802,4148,17021,3362,63520,2901,30427,1381,41160,2133,47953,67,89,34849
14802,14802,4147,16709,1746,1587,2413,28166,1045,42186,626,48604,69,91,34850
14806,14806,4148,17350,2126,1356,2827,29299,1637,42043,817,49381,69,91,34856
14817,14818,4149,19802,1957,1751,2467,27659,1518,42219,763,49754,69,91,34870
14816,14816,4149,19544,2568,755,2481,27972,1396,42034,1179,49683,69,91,34868
14800,14800,4147,16102,1638,1428,1641,28489,1301,42593,720,49029,69,91,34849
14801,14801,4147,16265,2748,64726,3390,29731,643,40467,2289,47373,66,88,34851
14804,14805,4147,16705,2200,687,2728,27191,2196,42295,256,49217,68,91,34856
14810,14810,4148,17972,2099,730,1944,27573,180,41610,746,48347,68,90,34862
14787,14787,4145,12930,2365,65518,2133,26993,791,41689,929,48358,69,91,34835
14777,14778,4144,10640,1594,65464,2460,26534,1272,41910,825,48662,68,91,34825
14785,14785,4145,12339,2318,1095,2537,27295,1150,40809,452,48579,68,91,34833
14794,14794,4146,14168,1947,509,2124,25980,432,42144,362,48851,69,91,34845
14789,14789,4145,13458,2466,65198,3308,27950,902,40586,1407,47758,66,88,34837
14780,14781,4144,11325,2128,921,2990,25271,1534,43195,896,49171,70,92,34827
14777,14777,4143,10334,1904,64064,2830,28317,671,41619,1604,47872,67,88,34825
14771,14771,4143,8924,2630,64770,2166,28710,601,42501,690,47549,68,90,34818
14765,14765,4142,7580,1866,65433,2665,27020,1052,42052,1087,48291,68,90,34811
14752,14752,4140,4722,2355,64587,2688,26253,425,41262,924,48302,69,91,34796
14755,14755,4141,5716,2228,65178,2707,26145,355,42324,852,48457,67,88,34798
14753,14753,4140,4266,2245,413,2550,25933,1403,42773,378,49308,70,92,34800
14752,14752,4140,4586,3232,64678,2971,27544,677,41535,2276,48213,68,89,34796
14740,14740,4138,1972,2023,60075,2545,26518,655,41416,1867,46780,67,88,34783
14770,14770,4142,8417,1340,241,2533,24766,1695,43088,1219,49666,69,91,34818
14783,14784,4144,11803,2478,64266,3419,26578,645,40263,1281,47547,67,89,34833
14797,14797,4146,14322,2050,317,1786,26280,569,42370,920,47720,68,90,34852
14772,14772,4143,9020,1639,230,2106,25526,1909,42814,201,48236,68,90,34821
14759,14759,4141,6185,1841,559,2384,25823,1702,42624,183,48270,69,91,34804
14765,14765,4142,7755,1342,689,2455,27646,1096,41720,819,48368,69,91,34811
14786,14787,4145,12272,2812,64811,3034,29214,1465,39899,2205,46269,67,88,34837
14787,14787,4145,12145,2055,1984,2948,26430,1250,42814,774,48667,70,93,34838
14777,14777,4144,10493,1916,254,2659,27025,159,41720,286,47585,69,92,34825
14766,14766,4141,7225,2438,65262,2208,26217,742,41206,932,46691,68,90,34816
14776,14777,4143,9652,1954,64878,2399,27004,502,40808,940,47153,67,89,34827
14775,14775,4143,9361,2366,65514,2030,27169,554,41235,1481,47147,67,89,34825
14768,14768,4142,7831,2593,64853,2159,26188,548,42320,1199,47025,68,90,34816
14772,14772,4142,8723,1746,659,2390,26893,317,42201,836,48470,67,89,34821
14770,14770,4142,8403,1825,64582,1478,26494,412,42091,881,48532,68,90,34819
14775,14776,4143,9379,1851,65491,2367,25504,582,42259,379,48500,69,92,34826
14774,14775,4143,9276,1899,65169,1876,26512,1404,41713,1103,47999,68,90,34824
14770,14770,4142,8410,2305,64470,2877,27224,1354,41009,1373,46182,66,87,34818
14763,14764,4141,6888,1584,930,2662,24221,2081,42540,1051,48109,69,91,34811
14767,14767,4142,7656,1968,64792,2582,26794,646,40364,1640,47104,68,89,34815
14762,14762,4141,6281,1502,946,2300,25079,1816,42491,1132,49048,69,92,34810
14768,14769,4142,7879,2293,64139,3275,27288,464,40797,1048,45918,67,88,34818
14759,14759,4140,5286,2034,694,2490,26850,1059,41993,730,48120,70,93,34808
14776,14776,4143,9421,2731,69,2502,27888,1500,41617,695,48607,69,92,34827
14794,14794,4145,13450,2423,598,2171,28682,140,39839,1151,46709,67,89,34848
14791,14791,4145,13115,2193,987,2679,27521,335,40268,559,47295,67,89,34844
14773,14773,4143,8912,1465,1568,2184,26634,537,40022,1128,47266,66,88,34824
14758,14758,4140,5476,1534,16,2528,26706,513,40246,1057,46573,68,90,34805
14768,14768,4142,7185,2851,2736,3207,26151,2385,42068,1506,48556,70,92,34819
14775,14775,4143,8881,2568,1617,2811,26405,894,40980,805,47135,68,90,34828
14780,14780,4143,9902,2448,2029,2242,26987,1210,41886,974,47526,69,92,34833
14771,14772,4142,8593,2328,291,3413,27770,434,40278,1087,46700,67,88,34822
14779,14779,4143,9795,2256,1566,2928,26402,1971,41546,498,48083,69,91,34833
14793,14793,4145,13573,2422,64993,3507,27999,340,40235,1576,46363,67,89,34847
14791,14791,4145,12781,2388,1993,2134,26876,3042,42238,1574,48243,69,91,34845
14793,14793,4145,13491,2047,64915,2969,29309,1216,40726,909,46991,67,88,34846
