activePower,apparentPower,current,harmonic1,harmonic2,harmonic3,harmonic4,harmonic5,harmonic6,harmonic7,harmonic8,harmonic9,phase,reactivePower,voltage
358,358,97,23182,548,123,855,1356,446,1251,646,1564,148,4,36351
357,357,97,22478,220,872,552,623,629,903,845,790,183,5,36361
357,357,97,22764,151,1013,160,483,922,602,181,996,145,4,36347
357,357,97,22681,370,522,933,1208,815,687,670,1579,187,5,36333
357,357,97,22602,753,532,491,765,455,977,815,986,175,5,36332
357,357,97,22449,368,545,315,731,654,1204,269,539,186,5,36342
357,357,97,22544,1159,1341,844,800,324,525,927,1334,112,3,36338
357,357,97,22835,1008,909,77,318,679,823,580,629,142,4,36314
357,357,97,22583,448,1084,246,273,422,937,254,1741,145,4,36306
357,357,97,22895,298,114,419,728,325,582,103,1711,147,4,36319
356,356,97,22392,725,1209,893,564,162,1136,543,1820,147,4,36334
358,358,97,23307,193,129,198,527,662,363,108,1526,173,5,36310
357,357,97,22987,593,795,637,780,803,1285,699,1298,161,5,36298
357,357,97,22920,355,1387,635,237,636,170,368,628,186,5,36308
359,359,97,23436,533,309,569,657,97,1004,794,894,147,4,36309
356,356,97,22415,362,125,784,500,268,1183,993,1372,168,5,36311
357,357,97,22935,261,1281,144,439,62,518,300,1306,161,5,36316
358,358,97,23067,200,663,655,647,267,356,234,1158,208,6,36311
359,359,97,23516,562,1466,36,466,846,990,410,1282,190,6,36312
358,358,97,23363,297,861,650,923,58,819,565,411,131,4,36309
358,358,97,23353,259,592,156,720,358,924,525,704,174,5,36299
356,356,97,22378,608,672,336,1105,319,669,668,1315,136,4,36300
356,356,96,22301,633,923,8,433,636,1345,1182,1320,154,4,36294
359,359,97,23555,146,1412,230,717,229,1424,537,738,176,5,36303
356,356,96,22252,301,853,482,900,885,542,802,1057,149,4,36320
357,357,97,22822,103,1322,263,948,518,1193,1111,362,173,5,36329
358,358,97,22975,1208,1139,964,1171,353,153,481,1272,154,4,36318
358,358,97,23096,592,632,372,657,213,1277,604,821,116,3,36306
357,357,97,22768,519,1235,900,852,714,838,1090,109,165,5,36294
358,358,97,23179,394,639,144,483,1112,1185,189,1627,167,5,36296
358,358,97,23227,646,621,545,1113,121,1594,362,1369,100,3,36293
357,357,97,22638,566,1494,120,241,872,379,410,1199,135,4,36299
357,357,97,22877,295,968,158,1128,331,625,378,468,188,6,36293
357,357,97,22979,277,563,1033,795,639,609,513,889,145,4,36303
358,358,97,23347,350,1099,330,908,638,1243,277,1121,140,4,36294
358,358,97,23195,467,831,920,683,406,783,399,1334,91,2,36297
358,358,97,23038,881,514,392,672,632,440,328,662,165,5,36310
