activePower,apparentPower,current,harmonic1,harmonic2,harmonic3,harmonic4,harmonic5,harmonic6,harmonic7,harmonic8,harmonic9,phase,reactivePower,voltage
0,1,15,776,487,220,391,274,467,896,310,361,23032,1,36058
0,0,14,381,660,204,791,495,478,562,640,584,27421,0,36062
1,1,14,762,439,867,230,476,296,672,807,661,28801,0,36075
1,1,14,506,408,742,572,142,132,309,626,467,31368,0,36091
0,1,15,459,607,898,325,572,647,689,408,507,28113,0,36088
2,2,14,1179,1146,155,303,355,667,738,464,229,34798,0,36065
1,1,14,514,1226,121,674,821,348,448,145,163,28223,0,36067
2,2,14,1118,127,346,243,337,439,796,333,198,32649,0,36078
0,0,14,208,123,415,528,577,566,731,312,595,26134,0,36093
1,2,14,917,226,525,752,439,740,534,168,330,31723,0,36099
2,2,14,972,341,430,577,254,115,538,331,474,34454,0,36085
3,3,14,1307,152,479,108,540,715,325,599,67,34621,0,36056
1,1,14,552,1235,717,348,557,390,821,726,451,32919,0,36069
0,0,14,333,337,238,302,318,488,140,725,533,12991,0,36072
0,1,14,773,439,569,382,376,220,1145,754,622,24336,1,36056
0,0,14,377,187,416,564,595,363,291,751,432,28023,0,36043
1,1,14,813,543,403,1210,344,404,303,881,324,27555,1,36052
0,1,14,420,492,770,150,370,111,552,584,343,16366,1,36059
2,3,15,1497,630,542,218,906,365,628,371,693,25969,2,36061
1,2,15,1052,522,311,538,518,293,492,374,84,22801,2,36044
0,1,14,612,139,294,457,112,521,122,668,419,23846,1,36038
0,1,14,573,145,292,579,197,635,1069,236,655,25961,0,36038
2,2,15,1224,524,308,569,930,670,590,402,348,33167,0,36047
1,2,14,1083,553,877,230,400,678,469,708,669,24226,2,36063
1,1,14,485,1049,748,54,334,831,580,565,383,32723,0,36072
1,1,15,518,423,411,452,852,281,100,497,687,29272,0,36056
0,0,15,227,663,417,328,479,938,516,796,189,28887,0,36054
2,3,14,1316,443,650,513,752,555,51,629,457,32145,0,36066
2,2,14,1215,1079,395,1316,901,325,246,533,505,29448,1,36062
1,1,14,762,376,352,540,313,240,680,417,372,29963,0,36040
1,1,14,774,709,687,96,571,1064,622,415,510,32926,0,36032
0,0,14,282,366,826,242,234,300,747,297,585,30737,0,36048
2,2,14,1137,1169,103,632,213,426,142,160,859,32677,0,36080
1,2,15,876,637,536,151,253,663,340,580,636,30877,0,36091
1,1,14,547,531,996,93,929,720,504,668,257,32397,0,36063
0,0,15,378,1071,391,206,203,553,276,554,369,26334,0,36054
0,0,15,79,319,227,445,274,538,737,147,425,14122,0,36065
0,2,14,887,356,62,279,50,496,628,248,100,22323,1,36062
1,1,15,666,178,378,712,29,433,280,417,302,29381,0,36060
1,1,15,788,649,43,497,550,265,651,245,705,27167,1,36063
1,1,14,782,517,400,437,271,579,296,167,667,34109,0,36073
2,2,14,941,474,654,465,445,261,283,205,713,34869,0,36066
2,2,14,1100,1118,338,406,192,602,675,207,878,32235,0,36048
0,1,14,518,194,688,683,308,279,161,186,356,19102,1,36035
0,0,14,373,208,202,85,382,151,292,772,668,28746,0,36029
0,1,14,620,771,272,459,221,66,852,255,606,21141,1,36017
2,2,14,1069,459,225,390,275,539,448,584,362,30630,0,36015
2,2,14,994,1033,163,249,732,374,337,298,482,33211,0,36016
